Description,Category
ABACAVIR 300MG TAB,RX
ACETAMINOPHEN 325MG *,OTC
ACETAMINOPHEN 500MG CAP,OTC
ACETAMINOPHEN 500MG TAB,OTC
ACETAMINOPHEN 650MG ER TAB,OTC
ACETIC ACID SOL 0.25%IRR,RX
ACETIC ACID 0.25% IRR SOLN,RX
ACIDOPHILUS CAPTAB,OTC
ACIDOPHOLUS CAPS,OTC
ACITRETIN CAP 25MG,RX
ACYCLOVIR TAB 400MG,RX
ADMELOG SOLO INJ 100U/ML,RX
ADMELOG SOLOSTAR 100U/ML,RX
ADVAIR 250/50 *14DAY* DISKUS,RX
ADVAIR 250/50 *14DOSE* DISK,RX
ADVAIR 500-50 DISKUS (60 INH),RX
ADVAIR DISKUS,RX
ADVAIR DISKUS **14DOSE**100/50,RX
ADVAIR DISKUS 250-50MCG/DOSE,RX
ADVAIR DISKUS 500-50MCG/DOSE,RX
ADVAIR HFA **60DOSE** 115/21,RX
ALBUTEROL NEB 0.083%,RX
ALBUTEROL HFA 90MCG,RX
ALBUTEROL HFA 90MCG (200 INH),RX
ALBUTEROL HFA 90MCG/ACT (200),RX
ALBUTEROL HFA AER 90MCG,RX
ALBUTEROL NEB 3ML 0.083% (2.5,RX
ALBUTEROL SULF 90MCG/ACT HFA,RX
ALCOHOL PAD *LARGE*,SUPPLY-NON IV
ALCOHOL PADS *200CT*,SUPPLY-NON IV
ALENDRONATE TAB 35MG,RX
ALENDRONATE TAB 70MG,RX
ALENDRONATE 70MG TAB,RX
ALENDRONATE SODIUM 70MG,RX
ALFUZOSIN TAB 10MG ER,RX
ALIGN CAP 4MG,OTC
ALLOPURINOL TAB 100MG,RX
ALLOPURINOL TAB 300MG,RX
ALLOPURINOL 100MG,RX
ALLOPURINOL 100MG TAB,RX
ALOGLIPTIN 12.5MG TAB,RX
ALOGLIPTIN 12.5MG TABS,RX
ALPHAGAN P 0.001,RX
ALPHAGAN P OPTH *0.1%*,RX
ALPRAZOLAM TAB 0.25MG,RX
ALPRAZOLAM TAB 0.5MG,RX
ALPRAZOLAM TAB 1MG,RX
ALPRAZOLAM 0.25MG,RX
ALUMINUM HYDROXIDE 320MG/5ML,OTC
AMIODARONE TAB 200MG,RX
